"TMDB_ID","GENRE_NAME"
26389,"Action"
26389,"Crime"
26389,"Thriller"
23488,"Fantasy"
23488,"Drama"
23488,"Thriller"
26390,"Crime"
26390,"Drama"
26390,"Thriller"
34016,"Comedy"
25941,"Thriller"
25941,"Crime"
25941,"Drama"
25941,"Action"
23169,"Drama"
23169,"Romance"
44363,"Thriller"
27573,"Action"
31867,"Action"
31867,"Science Fiction"
31867,"Thriller"
31867,"Crime"
28355,"Horror"
28355,"Mystery"
28355,"Thriller"
36970,"Documentary"
36970,"Family"
23048,"Science Fiction"
23048,"Comedy"
23048,"Adventure"
28211,"Drama"
28211,"Thriller"
28211,"Mystery"
10191,"Fantasy"
10191,"Adventure"
10191,"Animation"
10191,"Family"
18823,"Adventure"
18823,"Fantasy"
18823,"Action"
34769,"Drama"
34769,"Action"
34769,"Comedy"
34769,"Crime"
23483,"Action"
23483,"Crime"
35056,"Comedy"
13417,"Animation"
13417,"Comedy"
13417,"Family"
36419,"Drama"
36419,"Horror"
36419,"Mystery"
36419,"Thriller"
27586,"Drama"
27586,"Music"
34803,"Comedy"
37861,"Adventure"
37861,"Drama"
37861,"Action"
37861,"Fantasy"
33217,"Comedy"
33217,"Family"
34813,"Action"
34813,"Adventure"
34813,"Crime"
34813,"Mystery"
34813,"Thriller"
35690,"Drama"
35690,"Family"
35690,"Romance"
37169,"Horror"
39452,"Documentary"
32985,"Adventure"
32985,"Fantasy"
32985,"Action"
32985,"Science Fiction"
10138,"Adventure"
10138,"Action"
10138,"Science Fiction"
37931,"Action"
37931,"Adventure"
37931,"Comedy"
23437,"Horror"
23437,"Mystery"
23437,"Thriller"
37495,"Comedy"
37495,"Crime"
37495,"Drama"
20662,"Action"
46705,"Drama"
37821,"Action"
37821,"Comedy"
37821,"Thriller"
37821,"Romance"
26388,"Drama"
26388,"Thriller"
26388,"Mystery"
9543,"Adventure"
9543,"Fantasy"
9543,"Action"
9543,"Romance"
37786,"Comedy"
37786,"Drama"
37786,"Romance"
32823,"Comedy"
38199,"Action"
38199,"Adventure"
38199,"Drama"
38199,"Thriller"
34806,"Comedy"
34806,"Romance"
37707,"Thriller"
37707,"Science Fiction"
37056,"Comedy"
37056,"Drama"
37056,"Romance"
34480,"Adventure"
34480,"Horror"
34480,"Thriller"
29917,"Thriller"
29917,"Mystery"
20533,"Action"
20533,"Western"
20533,"Drama"
20533,"Fantasy"
20533,"Thriller"
34544,"Thriller"
34544,"Action"
34544,"Adventure"
34544,"Comedy"
34544,"Crime"
10193,"Animation"
10193,"Family"
10193,"Comedy"
39013,"Drama"
10192,"Comedy"
10192,"Adventure"
10192,"Fantasy"
10192,"Animation"
10192,"Family"
37414,"Crime"
37414,"Drama"
37414,"Thriller"
13989,"Action"
13989,"Adventure"
13989,"Crime"
24021,"Adventure"
24021,"Fantasy"
24021,"Drama"
24021,"Romance"
34647,"Fantasy"
34647,"Drama"
10196,"Action"
10196,"Adventure"
10196,"Family"
10196,"Fantasy"
34851,"Action"
34851,"Science Fiction"
34851,"Adventure"
34851,"Thriller"
20352,"Animation"
20352,"Family"
27205,"Action"
27205,"Thriller"
27205,"Science Fiction"
27205,"Mystery"
27205,"Adventure"
38365,"Comedy"
27022,"Fantasy"
27022,"Adventure"
27022,"Action"
27022,"Comedy"
27022,"Drama"
37834,"Action"
37834,"Comedy"
37834,"Romance"
38575,"Action"
38575,"Adventure"
38575,"Drama"
38575,"Family"
39781,"Comedy"
39781,"Drama"
40662,"Adventure"
40662,"Animation"
40662,"Action"
40662,"Science Fiction"
40662,"Mystery"
27576,"Action"
27576,"Thriller"
27576,"Crime"
27576,"Mystery"
31011,"Science Fiction"
31011,"Drama"
31011,"Romance"
31011,"Fantasy"
38778,"Comedy"
35019,"Fantasy"
35019,"Comedy"
35019,"Family"
38843,"Family"
38843,"Adventure"
38843,"Comedy"
38843,"Fantasy"
37950,"Drama"
24122,"Comedy"
24122,"Romance"
27581,"Action"
27581,"Comedy"
27581,"Crime"
27578,"Action"
27578,"Thriller"
22538,"Comedy"
22538,"Action"
22538,"Adventure"
44629,"Drama"
44629,"Thriller"
44629,"Crime"
23759,"Drama"
23759,"Action"
23759,"Thriller"
43549,"Drama"
43593,"Comedy"
43593,"Horror"
24238,"Animation"
24238,"Comedy"
24238,"Drama"
19918,"Comedy"
19918,"Drama"
19918,"Romance"
24056,"Horror"
24056,"Action"
24056,"Thriller"
22947,"Drama"
22947,"Romance"
22804,"Horror"
22804,"Mystery"
24418,"Adventure"
24418,"Fantasy"
24418,"Action"
24418,"Thriller"
22821,"Action"
22821,"Thriller"
22821,"Crime"
24804,"Action"
24804,"Comedy"
16577,"Animation"
16577,"Action"
16577,"Family"
16577,"Science Fiction"
10315,"Adventure"
10315,"Animation"
10315,"Comedy"
10315,"Family"
17979,"Drama"
17979,"Animation"
24480,"Animation"
24480,"Adventure"
24480,"Comedy"
24480,"Family"
24480,"Fantasy"
14161,"Science Fiction"
14161,"Action"
14161,"Adventure"
22825,"Thriller"
22825,"Science Fiction"
22824,"Drama"
22824,"Horror"
22824,"Mystery"
22824,"Science Fiction"
22824,"Thriller"
25793,"Drama"
11699,"Drama"
11699,"Crime"
18239,"Adventure"
18239,"Fantasy"
18239,"Drama"
18239,"Romance"
22832,"Action"
22832,"Crime"
22832,"Thriller"
7445,"Drama"
7445,"Thriller"
7445,"War"
22881,"Drama"
22949,"Comedy"
22949,"Family"
16866,"Science Fiction"
16866,"Animation"
16866,"Family"
16866,"Comedy"
16866,"Adventure"
34653,"Drama"
34653,"Romance"
7980,"Fantasy"
7980,"Drama"
22954,"Drama"
22954,"History"
10198,"Family"
10198,"Animation"
10198,"Fantasy"
26171,"Drama"
4597,"Action"
4597,"Crime"
4597,"Drama"
4597,"Thriller"
24438,"Comedy"
19995,"Action"
19995,"Adventure"
19995,"Fantasy"
19995,"Science Fiction"
10197,"Drama"
10197,"Music"
10197,"Romance"
22897,"Comedy"
22897,"Romance"
10528,"Adventure"
10528,"Drama"
10528,"Action"
10528,"Comedy"
10528,"Thriller"
10528,"Crime"
10528,"Mystery"
25196,"Drama"
25196,"Music"
25196,"Romance"
